Step 62: {'cpu_percent': 10.3, 'memory_percent': 0.23619303247690918, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 788, 'read_bytes': 12456408, 'write_bytes': 3225332, 'other_count': 9801, 'other_bytes': 546690}}
Step 63: {'cpu_percent': 7.1, 'memory_percent': 0.23619303247690918, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 800, 'read_bytes': 12456408, 'write_bytes': 3276522, 'other_count': 9835, 'other_bytes': 547654}}
Step 64: {'cpu_percent': 3.6, 'memory_percent': 0.23621751351261366, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 812, 'read_bytes': 12456408, 'write_bytes': 3327711, 'other_count': 9869, 'other_bytes': 548620}}
Step 65: {'cpu_percent': 9.1, 'memory_percent': 0.23621751351261366, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 824, 'read_bytes': 12456408, 'write_bytes': 3378900, 'other_count': 9903, 'other_bytes': 549586}}
Step 66: {'cpu_percent': 3.1, 'memory_percent': 0.23621751351261366, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 836, 'read_bytes': 12456408, 'write_bytes': 3430089, 'other_count': 9937, 'other_bytes': 550552}}
Step 67: {'cpu_percent': 5.2, 'memory_percent': 0.23621751351261366, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 848, 'read_bytes': 12456408, 'write_bytes': 3481278, 'other_count': 9971, 'other_bytes': 551518}}
Step 68: {'cpu_percent': 2.7, 'memory_percent': 0.23621751351261366, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 860, 'read_bytes': 12456408, 'write_bytes': 3532467, 'other_count': 10005, 'other_bytes': 552484}}
Step 69: {'cpu_percent': 4.5, 'memory_percent': 0.23621751351261366, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 872, 'read_bytes': 12456408, 'write_bytes': 3583657, 'other_count': 10039, 'other_bytes': 553448}}
Step 70: {'cpu_percent': 9.4, 'memory_percent': 0.23622975403046592, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 884, 'read_bytes': 12456408, 'write_bytes': 3634847, 'other_count': 10073, 'other_bytes': 554412}}
Step 71: {'cpu_percent': 9.1, 'memory_percent': 0.23622975403046592, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 896, 'read_bytes': 12456408, 'write_bytes': 3686037, 'other_count': 10107, 'other_bytes': 555376}}
Step 72: {'cpu_percent': 11.5, 'memory_percent': 0.23626647558402264, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 908, 'read_bytes': 12456408, 'write_bytes': 3737227, 'other_count': 10141, 'other_bytes': 556340}}
Step 73: {'cpu_percent': 6.2, 'memory_percent': 0.23626647558402264, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 920, 'read_bytes': 12456408, 'write_bytes': 3788418, 'other_count': 10175, 'other_bytes': 557306}}
Step 74: {'cpu_percent': 4.9, 'memory_percent': 0.23626647558402264, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 932, 'read_bytes': 12456408, 'write_bytes': 3839608, 'other_count': 10209, 'other_bytes': 558272}}
Step 75: {'cpu_percent': 7.2, 'memory_percent': 0.23626647558402264, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 944, 'read_bytes': 12456408, 'write_bytes': 3890798, 'other_count': 10243, 'other_bytes': 559236}}
Step 76: {'cpu_percent': 4.5, 'memory_percent': 0.23626647558402264, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 956, 'read_bytes': 12456408, 'write_bytes': 3941988, 'other_count': 10277, 'other_bytes': 560200}}
Step 77: {'cpu_percent': 19.4, 'memory_percent': 0.23626647558402264, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 968, 'read_bytes': 12456408, 'write_bytes': 3993178, 'other_count': 10311, 'other_bytes': 561166}}
Step 78: {'cpu_percent': 7.2, 'memory_percent': 0.23626647558402264, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 980, 'read_bytes': 12456408, 'write_bytes': 4044369, 'other_count': 10345, 'other_bytes': 562130}}
Step 79: {'cpu_percent': 8.8, 'memory_percent': 0.23626647558402264, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 992, 'read_bytes': 12456408, 'write_bytes': 4095559, 'other_count': 10379, 'other_bytes': 563094}}
Step 80: {'cpu_percent': 2.2, 'memory_percent': 0.23626647558402264, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 1004, 'read_bytes': 12456408, 'write_bytes': 4146749, 'other_count': 10413, 'other_bytes': 564060}}
Step 81: {'cpu_percent': 10.4, 'memory_percent': 0.23626647558402264, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 1016, 'read_bytes': 12456408, 'write_bytes': 4197940, 'other_count': 10447, 'other_bytes': 565024}}
Step 82: {'cpu_percent': 7.8, 'memory_percent': 0.23626647558402264, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 1028, 'read_bytes': 12456408, 'write_bytes': 4249132, 'other_count': 10481, 'other_bytes': 565988}}
Step 83: {'cpu_percent': 6.5, 'memory_percent': 0.23646232386965857, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 1040, 'read_bytes': 12456408, 'write_bytes': 4300323, 'other_count': 10515, 'other_bytes': 566954}}
Step 84: {'cpu_percent': 10.3, 'memory_percent': 0.23646232386965857, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 1052, 'read_bytes': 12456408, 'write_bytes': 4351514, 'other_count': 10549, 'other_bytes': 567920}}
Step 85: {'cpu_percent': 5.7, 'memory_percent': 0.23646232386965857, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 1064, 'read_bytes': 12456408, 'write_bytes': 4402706, 'other_count': 10583, 'other_bytes': 568884}}
Step 86: {'cpu_percent': 15.5, 'memory_percent': 0.23646232386965857, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 1076, 'read_bytes': 12456408, 'write_bytes': 4453897, 'other_count': 10617, 'other_bytes': 569848}}
Step 87: {'cpu_percent': 6.1, 'memory_percent': 0.23646232386965857, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 1088, 'read_bytes': 12456408, 'write_bytes': 4505089, 'other_count': 10651, 'other_bytes': 570812}}
Step 88: {'cpu_percent': 8.6, 'memory_percent': 0.23646232386965857, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 1100, 'read_bytes': 12456408, 'write_bytes': 4556280, 'other_count': 10685, 'other_bytes': 571776}}
Step 89: {'cpu_percent': 12.1, 'memory_percent': 0.23646232386965857, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 1112, 'read_bytes': 12456408, 'write_bytes': 4607471, 'other_count': 10719, 'other_bytes': 572740}}
Step 90: {'cpu_percent': 8.2, 'memory_percent': 0.23646232386965857, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 1124, 'read_bytes': 12456408, 'write_bytes': 4658663, 'other_count': 10753, 'other_bytes': 573704}}
Step 91: {'cpu_percent': 7.5, 'memory_percent': 0.23646232386965857, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 1136, 'read_bytes': 12456408, 'write_bytes': 4709854, 'other_count': 10787, 'other_bytes': 574666}}
Step 92: {'cpu_percent': 18.4, 'memory_percent': 0.23646232386965857, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 1148, 'read_bytes': 12456408, 'write_bytes': 4761045, 'other_count': 10821, 'other_bytes': 575630}}
Step 93: {'cpu_percent': 9.3, 'memory_percent': 0.23646232386965857, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 1160, 'read_bytes': 12456408, 'write_bytes': 4812237, 'other_count': 10855, 'other_bytes': 576594}}
Step 94: {'cpu_percent': 5.2, 'memory_percent': 0.23646232386965857, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 1172, 'read_bytes': 12456408, 'write_bytes': 4863428, 'other_count': 10889, 'other_bytes': 577558}}
Step 95: {'cpu_percent': 9.5, 'memory_percent': 0.23646232386965857, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 1184, 'read_bytes': 12456408, 'write_bytes': 4914619, 'other_count': 10923, 'other_bytes': 578522}}
Step 96: {'cpu_percent': 6.7, 'memory_percent': 0.23646232386965857, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 1196, 'read_bytes': 12456408, 'write_bytes': 4965810, 'other_count': 10957, 'other_bytes': 579488}}
Step 97: {'cpu_percent': 1.8, 'memory_percent': 0.23646232386965857, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 1208, 'read_bytes': 12456408, 'write_bytes': 5017001, 'other_count': 10991, 'other_bytes': 580454}}
Step 98: {'cpu_percent': 4.2, 'memory_percent': 0.23646232386965857, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 1220, 'read_bytes': 12456408, 'write_bytes': 5068192, 'other_count': 11025, 'other_bytes': 581420}}
Step 99: {'cpu_percent': 7.4, 'memory_percent': 0.23646232386965857, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 1232, 'read_bytes': 12456408, 'write_bytes': 5119383, 'other_count': 11059, 'other_bytes': 582386}}
Total elapsed time: 0.4257018566131592 seconds
Average time per step: 0.004257018566131592 seconds
